"Time","Patch","Age","myID","momID","dadID","Mate"
504,124,17,44300414,40539273,39126492,43583328
504,124,11,44863995,43110999,42920656,43501251
504,124,19,44115751,42002314,41709781,42969121
504,124,15,44466688,41296200,40843300,39963482
504,124,17,44301113,43569328,43380077,42910318
504,127,37,42472122,41088407,41088550,41093305
504,127,11,44855172,40943979,40410207,44181274
504,127,17,44314496,42951451,40206449,42635891
504,127,16,44362318,42235693,40108563,42828364
504,127,32,42899612,41878246,41796644,41033732
504,130,20,44055654,43129860,42947919,42870808
504,130,12,44776986,43633880,43351291,44583987
504,130,9,45029832,44107292,43579309,44359244
504,130,14,44605378,43044387,42952282,40988693
504,175,9,45063702,43854945,43497666,44597289
504,175,13,44686951,43115115,42919317,43736070
504,175,24,43622689,41771961,41771982,43622651
504,175,8,45149876,43512317,40833186,42210933
504,175,8,45133962,43837285,42451681,44390996
504,178,20,44057229,42389437,41565262,43487640
504,178,19,44088667,42229100,42033633,43814613
504,178,23,43755176,41559547,41212482,43096995
504,178,26,43453842,42429561,41771771,42235384
504,181,9,45064796,44044955,43480490,45064847
504,181,13,44711888,43697022,41977950,41102203
504,181,22,43885024,41662542,40916970,41381416
504,181,23,43801890,42204474,42008692,41853619
504,181,31,43036921,41302534,40002650,40987460
504,181,10,44961981,42350635,41036324,42692889
504,181,8,45151679,44309956,44029859,44391967
504,184,14,44609652,42472122,41093305,44319871
504,187,9,45061481,44214180,44020007,42939126
504,187,10,44962035,44024757,43285986,44683031
504,235,11,44912957,44071922,41538425,43225913
504,235,9,45083033,42421486,41132138,44354100
504,235,8,45156255,43026917,42841487,42557131
504,238,31,43060015,41747818,40092307,42293929
504,238,10,44961352,43429873,43038849,43846989
504,241,10,44983019,43770716,42284861,44251060
504,241,12,44767014,43662572,40956381,44183427
504,241,26,43527836,42411288,41103017,42962415
504,244,11,44885449,43302734,42535022,44698003
504,244,18,44254073,42592615,42412792,43970017
504,289,8,45185681,43513500,42108498,43879499
504,289,9,45088584,44143897,44062499,43971362
504,289,14,44630624,43526346,43526411,44630690
504,289,14,44616751,43783710,43333322,44129777
504,292,18,44250672,43062670,42969800,43619615
504,292,11,44912877,44076662,42779584,44443909
504,292,19,44153256,42188768,41930105,43961334
504,292,9,45078692,44143500,44052724,44428130
504,292,11,44911613,43701358,41186627,44636443
504,292,18,44233545,43402974,42947919,43983362
504,292,14,44580200,43360012,42787491,43164608
504,295,11,44913975,43290272,43197777,44155783
504,295,26,43473074,42438173,41310671,42364655
504,295,20,44028550,42896669,42514486,42583832
504,295,11,44916650,43712259,41275332,43337201
504,298,10,45010220,42205463,41460713,43031318
504,298,11,44895242,40730704,38618180,44801701
504,298,16,44430198,42232490,42232516,43124175
504,298,9,45090604,44252768,41281312,44825311
504,298,17,44302774,43185075,39342296,42864751
504,301,17,44338155,43516172,42841737,44244132
504,301,21,43958104,42762235,42664715,43775167
504,301,15,44509389,43770716,42284861,44424923
504,301,18,44262352,43339723,42968289,43436521
507,61,11,45136463,43562014,42050344,42868836
507,61,12,45031112,43653832,40210246,40611595
507,61,18,44491173,41352933,39805310,41992607
507,61,9,45292323,43566109,42452999,41864445
507,64,13,44930962,43068211,42436592,43347786
507,64,17,44545052,43715290,42267705,43467500
507,64,24,43927467,42908090,41413637,43096995
507,67,15,44769436,42450772,42352234,44089232
507,67,11,45144418,41219320,39138187,44474970
507,67,23,43993148,42139469,42046464,43262719
507,67,19,44358823,43068721,42892841,42903772
507,70,13,44947354,42098908,40353039,44770865
507,73,29,43465981,41835128,41455326,43078516
507,73,31,43320915,42402950,42402917,42490034
507,118,16,44668865,43513062,42154044,44668947
507,118,22,44097432,42542092,42541979,43262080
507,118,17,44590527,43652715,41782852,41998749
507,118,27,43645433,41695440,41695406,42871436
507,118,8,45408111,43927047,43187110,44202532
507,118,23,44009243,42821682,40706966,43833260
507,121,10,45223028,43663263,42448128,44648328
507,124,13,44972771,43402843,43402924,44492900
507,124,17,44544988,43714250,43088469,43355000
507,124,15,44743920,43351783,42887619,44372915
507,124,14,44827199,44080506,44080558,43369740
507,127,15,44749379,43812438,43375683,42810355
507,127,8,45416729,43928041,42632389,44078337
507,130,26,43757827,40493981,39583896,43482358
507,130,38,42651418,41543434,41171066,41951553
507,130,11,45159266,43158254,38616688,44787111
507,130,8,45417591,44473499,42212103,45060973
507,130,36,42831517,40962703,40174804,42734720
507,130,53,41257736,39493405,39295109,40493360
507,130,9,45324455,44101890,43823005,42698739
507,130,22,44118324,42269343,39905436,43480302
507,175,33,43155923,40358411,39805439,43156029
507,175,18,44467090,43541832,43255965,43754530
507,175,13,44959994,43414397,43414412,42741611
507,175,13,44972585,43472444,43164608,44972656
507,175,18,44513643,43232390,42294433,41930105
507,178,28,43585533,39307184,38290750,43395097
507,178,21,44196580,43175912,42979150,42651993
507,178,22,44130355,42569607,39809878,43110349
507,181,22,44101890,41709960,41155503,43823005
507,181,39,42569333,41433095,41152892,41524792
507,181,14,44883554,42219038,41580238,39038544
507,181,12,45055368,44023725,44023831,45055477
507,181,22,44124705,40076372,38962940,43483718
507,181,10,45239348,44492506,43248994,44987380
507,184,33,43099130,41083896,40006603,41043184
507,184,14,44847989,43352575,42791278,43601676
507,184,9,45333883,44014177,42994997,44114932
507,187,18,44543422,42020374,41460417,44449281
507,187,13,44948191,44102213,44102031,43848990
507,187,16,44697004,43861251,43861112,44323004
507,187,9,45335074,42719414,42719628,45056748
507,187,26,43763233,39503193,39319049,43763282
507,232,8,45453417,44442783,43249740,43227369
507,232,15,44803126,40979260,39519053,42564469
507,232,29,43502659,42478626,41422051,40808567
507,235,8,45444719,44701348,44596631,43983362
507,235,21,44234905,43311700,43219406,43425136
507,235,10,45263511,43961850,43880643,45170527
507,235,50,41574672,40748161,40656935,40297315
507,235,9,45362580,44048600,41819800,45078831
507,238,28,43614780,42594094,42032253,42965038
507,238,30,43396001,41818996,41378956,42557728
507,238,14,44909014,43133054,42683074,40899885
507,241,28,43582061,40676275,39044577,43220853
507,241,9,45329053,38596911,38501024,44478311
507,241,23,44051122,42583808,42323025,43858637
507,244,10,45287237,44262198,44262322,45008459
507,244,35,42938252,37990294,37990153,42567556
507,289,20,44348916,43234822,38354130,43598329
507,289,12,45087874,44071075,41570591,44995263
507,289,40,42498676,41565542,38451596,41277960
507,289,14,44867842,44033637,43365619,44586819
507,289,11,45165599,43050191,42415311,43652766
507,292,11,45181202,44433785,40995732,45180801
507,292,9,45372500,44537687,43802485,42932336
507,292,20,44345167,41189328,41189433,43803508
507,295,41,42338493,38697140,38404963,41988212
507,295,66,40061212,38972052,38972381,39337667
507,295,9,45359408,43676236,43018149,44609337
507,295,35,42971948,41758417,41661451,42596502
507,298,9,45363527,44044955,43480490,44232913
511,61,26,44095318,41177831,40996403,43720965
511,61,18,44851384,43719052,43719174,43163646
511,61,13,45305334,44079677,43446457,44080324
511,64,12,45409562,44372223,43904428,45311501
511,64,9,45672675,42902166,42804160,45672588
511,64,33,43463136,40818540,38820797,40697129
511,67,8,45763015,44675436,41992607,44741338
511,67,24,44284478,42559151,41247793,41201344
511,67,17,44921246,43820088,43549897,44117588
511,70,28,43934851,41704055,39811518,43085009
511,70,11,45529287,43357492,42523918,44963957
511,70,24,44290056,40957130,40768929,44000803
511,70,12,45387035,42794445,42071676,44182795
511,70,9,45664111,44546226,42985925,45405561
511,73,10,45581567,44270185,43720933,44745741
511,73,27,44000244,42796054,41770276,42171842
511,73,29,43833313,40802687,40441193,42842103
511,118,18,44840939,43824079,42885913,43674380
511,118,9,45696708,44607496,43712972,45419275
511,118,10,45576971,44016256,43556015,45576905
